Web dev,App dev,Coding,AI,Cloud Computing,Architecture,Buisness administration,Full Stack,Ethical Hacking,Space,Aircrafts,Software Engineering,Graphics Designing,Role,,,
Highly Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Slightly Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Moderately Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Slightly Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Moderately Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,IT,,,
Highly Interested,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Slightly Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Moderately Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,IT,,,
Highly Interested,Not Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Beginner,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Slightly Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Moderately Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,IT,,,
Highly Interested,Not Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Poor,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Beginner,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Average,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Moderately Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,Slightly Interested,IT,,,
Highly Interested,Not Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Poor,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Beginner,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Average,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Slightly Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,Moderately Interested,IT,,,
Highly Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Slightly Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
Highly Interested,Not Interested,Moderately Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,IT,,,
